U92 A2539
A10096 T18
A730 T73
A1404 T192
A9225 T2104
A2586 T1799
A1231 T84
A76 T79
A170 T721
A5204 T69
A1167 T529
A12269 T296
A324 T1081
A1082 T730
A4233 T15
A1178 T169
A3981 T18
A755 T87
A3845 T25
A1234 T694
A2061 T14
A1824 T83
A84 T6474
A6113 T561
A3272 T24
A8220 T383
A797 T370
A822 T1
A1866 T181
A88 T911
A372 T79
A872 T61
A6035 T127
A1654 T817
A10317 T210
A192 T33
A339 T216
A905 T24
A869 T960
A10987 T6115
A755 T8939
A436 T275
A947 T1908
A4722 T178
A225 T73
A1605 T3480
A905 T3146
A185 T79
A885 T354
A2874 T134
A50 T510
A869 T951
A676 T216
A977 T206
A4616 T247
A15196 T72
A2586 T656
A786 T343
A228 T127
A7155 T73
A721 T89
A3491 T1
A483 T2
A13171 T73
A12473 T78
A4356 T818
A2052 T8114
A17369 T306
A8384 T81
A1751 T687
A1884 T16
A7520 T1343
A3553 T1094
A7295 T778
A1268 T4045
A1331 T1361
A2158 T14
A15625 T3032
A1026 T73
A3879 T49
A949 T609
A3509 T79
A3508 T1934
A15262 T385
A6013 T817
A15576 T127
A3998 T73
A17289 T11936
A855 T192
A7931 T192
A1884 T25
A1914 T7799
A6842 T18
A11251 T14
A10678 T184
A1876 T2152
A3223 T81
A9714 T25
A1969 T88
A9139 T304
A1236 T1070
A339 T24
A1406 T833
A13489 T713
A4442 T247
A14353 T735
A3391 T78
A463 T24
A11208 T87
A1244 T86
A283 T736
A15410 T8970
A17431 T73
A5890 T1000
A1332 T380
A341 T81
A916 T426
A158 T381
A460 T343
A13160 T87
A149 T81
A2648 T299
A339 T216
A3603 T321
A384 T185
A505 T732
A1324 T86
A1664 T2
A1053 T238
A84 T199
A3572 T9432
A8603 T8101
A216 T73
A617 T213
A17512 T1706
A9115 T229
A2056 T602
A312 T3114
A48 T191
A273 T197
A13128 T134
A253 T192
A11911 T47
A14838 T24
A983 T130
A8102 T2174
A12226 T1070
A3308 T67
A13437 T8390
A3845 T505
A7 T1
A1241 T72
A296 T213
A4181 T169
A1953 T11388
A8229 T88
A1006 T844
A6757 T3487
A10799 T39
A16256 T185
A306 T130
A2767 T122
A1874 T389
A1505 T182
A1352 T380
A168 T5866
A84 T9251
A13040 T7529
A4580 T380
A3165 T1465
A12285 T7659
A1415 T815
A517 T7
A14710 T14
A309 T1225
A287 T348
A17444 T381
A252 T818
A1361 T380
A15695 T4729
A10237 T81
A2608 T134
A10677 T2735
A4169 T79
A6147 T409
A1238 T5907
A1880 T8436
A3318 T9611
A4479 T79
A16952 T1130
A301 T564
A3266 T137
A970 T79
A3567 T79
A8456 T10044
A178 T85
A5443 T39
A1419 T85
A12256 T385
A1124 T191
A5338 T7
A2358 T181
A3105 T78
A11137 T6
A194 T605
A3154 T1476
A533 T24
A233 T18
A11848 T182
A152 T3704
A201 T79
A4469 T167
A248 T192
A6312 T79
A62 T3122
A6450 T49
A882 T73
A252 T3018
A3389 T601
A2158 T8144
A225 T73
A3646 T194
A201 T18
A795 T346
A920 T609
A14772 T192
A1366 T609
A7088 T253
A8091 T24
A1456 T729
A1341 T1
A7612 T72
A91 T25
A1236 T285
A4606 T7587
A12044 T210
A5032 T619
A6584 T79
A14018 T33
A9501 T210
A36 T11162
A7102 T20
A6169 T4654
A5726 T7530
A1676 T7905
A7310 T14
A2505 T39
A252 T1603
A501 T1651
A1415 T210
A6707 T2747
A13975 T619
A12883 T79
A225 T169
A2512 T81
A67 T569
A11682 T3437
A11050 T418
A1405 T73
A729 T134
A4957 T184
A771 T370
A2379 T24
A4870 T25
A1404 T380
A17531 T3
A102 T14
A5364 T127
A807 T194
A16778 T11436
A229 T73
A6918 T8197
A5239 T187
A7368 T195
A95 T25
A774 T88
A224 T79
A535 T73
A4083 T370
A456 T761
A3452 T83
A6231 T73
A4376 T1
A158 T1913
A177 T79
A11965 T85
A1001 T187
A5790 T134
A11735 T25
A1705 T121
A6771 T18
A2178 T180
A467 T506
A1382 T81
A8268 T127
A14077 T185
A4172 T79
A324 T102
A5033 T83
A290 T238
A8120 T25
A529 T78
A6243 T39
A1406 T3773
A12862 T24
A419 T718
A77 T1344
A16739 T159
A5803 T1505
A6258 T1724
A359 T3103
A8471 T6540
A1009 T16
A8621 T84
A1970 T127
A1523 T380
A3217 T84
A944 T1
A3879 T1939
A6617 T14
A2516 T39
A1190 T109
A9621 T2838
A8779 T18
A10130 T5514
A10385 T4
A1408 T192
A2251 T1093
A11342 T6355
A3244 T81
A681 T10745
A946 T91
A11707 T8117
A833 T4833
A780 T350
A431 T1873
A460 T193
A866 T73
A480 T24
A193 T6948
A1039 T73
A483 T78
A3825 T524
A922 T408
A2512 T774
A979 T37
A5663 T83
A8581 T564
A704 T823
A4259 T609
A11908 T44
A29 T559
A575 T8472
A778 T344
A9588 T73
A15806 T84
A798 T370
A1090 T1778
A11113 T1724
A1073 T202
A50 T74
A4920 T9092
A439 T79
A3633 T1873
A13979 T2460
A1239 T502
A549 T195
A2802 T775
A10128 T292
A8222 T8121
A7639 T11560
A65 T3521
A11590 T1070
A12640 T72
A1090 T18
A4285 T73
A1631 T729
A2642 T183
A2080 T200
A5842 T81
A6058 T81
A46 T16
A62 T340
A46 T4835
A3879 T264
A10535 T181
A6741 T3466
A10739 T11312
A1737 T33
A974 T756
A9956 T210
A2725 T370
A2566 T1011
A7189 T304
A421 T79
A4352 T16
A6905 T823
A951 T506
A225 T181
A251 T49
A5676 T33
A3244 T1821
A15558 T18
A12886 T18
A2442 T193
A493 T518
A3375 T830
A2527 T130
A681 T10740
A305 T5216
A407 T169
A6581 T285
A956 T6653
A1852 T683
A9184 T73
A557 T192
A10297 T234
A710 T25
A1664 T72
A9187 T73
A1781 T73
A4918 T8423
A13766 T14
A10231 T34
A10917 T87
A59 T81
A6376 T292
A711 T195
A7036 T382
A8756 T24
A11324 T340
A1670 T206
A1095 T181
A10110 T85
A4049 T25
A1035 T79
A7735 T4044
A14903 T830
A8695 T951
A1664 T194
A692 T21
A1073 T18
A10229 T5569
A2886 T49
A1092 T9308
A1456 T718
A12016 T7029
A1350 T380
A7180 T181
A17408 T818
A325 T102
A989 T8188
A1072 T187
A6672 T5
A5949 T8181
A3468 T9587
A398 T169
A411 T275
A84 T39
A3084 T1449
A2077 T164
A1756 T13
A1235 T39
A1817 T203
A225 T182
A1241 T25
A5551 T5
A7684 T24
A4774 T304
A4684 T3437
A3008 T756
A67 T3811
A12992 T7990
A822 T370
A1293 T594
A6477 T103
A7264 T1
A8300 T9312
A309 T3612
A8612 T4155
A493 T73
A1452 T18
A9954 T10984
A1027 T187
A16001 T308
A1113 T517
A912 T380
A420 T11628
A3532 T1197
A6536 T130
A6477 T71
A322 T206
A1547 T372
